Local time,Open,High,Low,Close,Volume
03.01.2023 01:00:00.000 GMT+0300,1826.837,1849.865,1823.287,1839.048,41297379.553399995
04.01.2023 01:00:00.000 GMT+0300,1838.797,1865.035,1836.048,1853.798,44793239.95109999
05.01.2023 01:00:00.000 GMT+0300,1854.147,1858.875,1824.995,1832.648,38527540.0279
06.01.2023 01:00:00.000 GMT+0300,1830.042,1869.765,1830.032,1865.598,41487069.3686
09.01.2023 01:00:00.000 GMT+0300,1867.537,1881.445,1864.477,1870.925,29478179.9911
10.01.2023 01:00:00.000 GMT+0300,1870.507,1880.635,1867.745,1876.298,32665390.044600002
11.01.2023 01:00:00.000 GMT+0300,1876.697,1886.548,1867.015,1874.898,32288420.0066
12.01.2023 01:00:00.000 GMT+0300,1874.997,1901.475,1872.760,1896.298,35461204.826799996
13.01.2023 01:00:00.000 GMT+0300,1895.297,1921.798,1892.205,1919.398,38002660.3639
16.01.2023 01:00:00.000 GMT+0300,1920.337,1928.885,1910.665,1913.705,23759099.990099996
17.01.2023 01:00:00.000 GMT+0300,1914.837,1918.925,1903.675,1908.195,27948347.091700003
18.01.2023 01:00:00.000 GMT+0300,1907.577,1925.798,1896.495,1903.298,41790392.1901
19.01.2023 01:00:00.000 GMT+0300,1904.747,1935.045,1900.855,1931.205,41806400.120299995
20.01.2023 01:00:00.000 GMT+0300,1931.737,1937.435,1920.508,1925.298,31964230.179699995
23.01.2023 01:00:00.000 GMT+0300,1926.128,1935.445,1911.248,1930.848,35581448.734
24.01.2023 01:00:00.000 GMT+0300,1930.597,1942.348,1917.065,1936.698,36658609.80760001
25.01.2023 01:00:00.000 GMT+0300,1937.397,1947.945,1919.697,1945.695,27910479.9925
26.01.2023 01:00:00.000 GMT+0300,1946.697,1949.085,1918.627,1928.585,29952418.804100007
27.01.2023 01:00:00.000 GMT+0300,1928.397,1934.918,1916.525,1927.598,30755419.522299998
30.01.2023 01:00:00.000 GMT+0300,1927.108,1934.425,1920.585,1922.075,24680009.901400004
31.01.2023 01:00:00.000 GMT+0300,1922.207,1930.998,1900.665,1927.475,28686809.867300004
01.02.2023 01:00:00.000 GMT+0300,1927.538,1954.448,1920.435,1950.098,35926219.94020001
02.02.2023 01:00:00.000 GMT+0300,1950.388,1959.625,1911.225,1911.755,36018985.0333
03.02.2023 01:00:00.000 GMT+0300,1911.607,1918.485,1861.255,1864.548,39150699.5558
06.02.2023 01:00:00.000 GMT+0300,1864.508,1881.198,1859.647,1866.698,32178000.1524
07.02.2023 01:00:00.000 GMT+0300,1866.937,1884.348,1864.898,1872.998,36655080.408
08.02.2023 01:00:00.000 GMT+0300,1872.097,1886.345,1868.898,1875.248,27179800.152900003
09.02.2023 01:00:00.000 GMT+0300,1874.727,1890.098,1858.855,1861.548,27202389.8064
10.02.2023 01:00:00.000 GMT+0300,1861.637,1872.035,1852.588,1864.698,28141469.9852
13.02.2023 01:00:00.000 GMT+0300,1863.917,1866.395,1850.325,1853.348,25071830.004699998
14.02.2023 01:00:00.000 GMT+0300,1853.007,1870.467,1843.165,1853.948,40687220.1264
15.02.2023 01:00:00.000 GMT+0300,1854.017,1859.998,1830.475,1835.698,28166140.139200002
16.02.2023 01:00:00.000 GMT+0300,1835.597,1845.158,1827.555,1835.065,26628899.693700004
17.02.2023 01:00:00.000 GMT+0300,1836.258,1843.505,1818.805,1841.898,25683100.223599996
20.02.2023 01:00:00.000 GMT+0300,1840.407,1847.405,1837.145,1840.965,17148579.9701
21.02.2023 01:00:00.000 GMT+0300,1841.304,1843.738,1830.095,1834.675,31192650.079899997
22.02.2023 01:00:00.000 GMT+0300,1834.424,1845.905,1823.425,1824.435,30071870.0737
23.02.2023 01:00:00.000 GMT+0300,1825.154,1833.685,1817.395,1821.585,27344180.018
24.02.2023 01:00:00.000 GMT+0300,1821.444,1827.715,1808.865,1810.665,27581360.2059
27.02.2023 01:00:00.000 GMT+0300,1810.758,1820.055,1806.538,1816.898,24543059.825799994
28.02.2023 01:00:00.000 GMT+0300,1816.634,1831.045,1804.594,1826.648,27945379.853200007
01.03.2023 01:00:00.000 GMT+0300,1826.104,1844.408,1822.938,1835.935,28346189.975899998
02.03.2023 01:00:00.000 GMT+0300,1836.308,1838.865,1829.854,1835.615,32104679.882499993
03.03.2023 01:00:00.000 GMT+0300,1835.654,1856.768,1835.404,1855.798,26543416.0831
06.03.2023 01:00:00.000 GMT+0300,1854.644,1858.168,1845.015,1846.015,26961280.2266
07.03.2023 01:00:00.000 GMT+0300,1846.248,1851.555,1812.655,1812.795,26516069.978499994
08.03.2023 01:00:00.000 GMT+0300,1812.968,1824.185,1809.248,1813.305,24970375.0017
09.03.2023 01:00:00.000 GMT+0300,1812.808,1835.565,1811.805,1830.815,23188119.918
10.03.2023 01:00:00.000 GMT+0300,1830.434,1870.065,1827.675,1867.448,47097590.5357
13.03.2023 00:00:00.000 GMT+0300,1872.398,1914.475,1871.328,1912.705,67362815.02239999
14.03.2023 00:00:00.000 GMT+0300,1913.514,1913.984,1895.228,1903.698,44332239.8961
15.03.2023 00:00:00.000 GMT+0300,1903.414,1937.295,1885.565,1918.055,49171460.0028
16.03.2023 00:00:00.000 GMT+0300,1917.708,1933.385,1907.455,1919.248,49588620.03689999
17.03.2023 00:00:00.000 GMT+0300,1920.774,1988.998,1918.135,1987.798,44892250.0909
20.03.2023 00:00:00.000 GMT+0300,1984.148,2009.695,1965.748,1978.375,45621237.546299994
21.03.2023 00:00:00.000 GMT+0300,1978.308,1985.025,1935.194,1939.205,36842389.8815
22.03.2023 00:00:00.000 GMT+0300,1939.658,1978.705,1934.175,1969.525,42585859.894999996
23.03.2023 00:00:00.000 GMT+0300,1969.714,2003.185,1964.644,1992.598,43526750.147300005
24.03.2023 00:00:00.000 GMT+0300,1993.198,2002.848,1975.085,1977.988,41321789.92049999
27.03.2023 00:00:00.000 GMT+0300,1979.798,1979.798,1943.895,1956.275,31679050.147500005
28.03.2023 00:00:00.000 GMT+0300,1955.504,1975.148,1949.028,1972.915,31469309.9856
29.03.2023 00:00:00.000 GMT+0300,1972.558,1974.224,1958.575,1963.625,28822760.134799995
30.03.2023 00:00:00.000 GMT+0300,1963.484,1984.195,1955.204,1979.715,32613049.8649
31.03.2023 00:00:00.000 GMT+0300,1979.884,1987.485,1966.754,1968.748,34525280.4756
03.04.2023 00:00:00.000 GMT+0300,1972.298,1990.365,1949.595,1984.295,36308730.4235
04.04.2023 00:00:00.000 GMT+0300,1983.344,2024.848,1976.825,2019.875,35349749.7437
05.04.2023 00:00:00.000 GMT+0300,2020.094,2031.968,2009.885,2020.195,30457015.872
06.04.2023 00:00:00.000 GMT+0300,2020.404,2021.248,2001.000,2006.476,30350362.0176
07.04.2023 00:00:00.000 GMT+0300,2006.476,2006.476,2006.476,2006.476,0
10.04.2023 00:00:00.000 GMT+0300,1993.341,2006.355,1981.545,1990.955,22482846.081400003
11.04.2023 00:00:00.000 GMT+0300,1991.084,2007.348,1988.615,2003.005,22699410.006299995
12.04.2023 00:00:00.000 GMT+0300,2003.274,2028.235,2001.225,2014.635,31501075.238100003
13.04.2023 00:00:00.000 GMT+0300,2013.974,2048.538,2013.518,2039.498,28525760.144
14.04.2023 00:00:00.000 GMT+0300,2039.454,2047.335,1992.285,2003.498,35670629.7698
17.04.2023 00:00:00.000 GMT+0300,1998.498,2014.885,1980.974,1994.195,26933909.9081
18.04.2023 00:00:00.000 GMT+0300,1994.688,2011.748,1991.195,2005.048,22903259.947799996
19.04.2023 00:00:00.000 GMT+0300,2004.704,2008.045,1969.155,1994.605,29605374.8726
20.04.2023 00:00:00.000 GMT+0300,1994.564,2012.255,1990.385,2004.598,25793400.0194
21.04.2023 00:00:00.000 GMT+0300,2004.424,2005.495,1971.515,1982.248,26516889.9298
24.04.2023 00:00:00.000 GMT+0300,1980.748,1990.728,1973.995,1988.938,26157879.7995
25.04.2023 00:00:00.000 GMT+0300,1988.704,2003.798,1976.015,1996.698,33561620.2953
26.04.2023 00:00:00.000 GMT+0300,1997.004,2009.204,1983.198,1988.198,34323170.2298
27.04.2023 00:00:00.000 GMT+0300,1989.034,2003.258,1973.865,1987.598,41109137.743700005
28.04.2023 00:00:00.000 GMT+0300,1987.404,1994.915,1975.905,1989.548,31209769.636400003
01.05.2023 00:00:00.000 GMT+0300,1990.398,2005.848,1976.925,1981.198,30715799.1232
02.05.2023 00:00:00.000 GMT+0300,1981.344,2019.248,1978.324,2016.325,32224630.1472
