Local time,Open,High,Low,Close,Volume
03.01.2023 01:00:00.000 GMT+0300,1828.763,1850.182,1824.895,1839.652,37928140.10410001
04.01.2023 01:00:00.000 GMT+0300,1839.403,1865.345,1836.395,1855.402,39996880.62070001
05.01.2023 01:00:00.000 GMT+0300,1855.673,1859.195,1825.322,1833.202,39405150.6072
06.01.2023 01:00:00.000 GMT+0300,1831.173,1870.115,1831.103,1866.252,33432789.832399998
09.01.2023 01:00:00.000 GMT+0300,1868.063,1881.823,1866.013,1872.205,36585949.9274
10.01.2023 01:00:00.000 GMT+0300,1871.873,1880.972,1868.085,1877.802,31951340.0941
11.01.2023 01:00:00.000 GMT+0300,1877.303,1886.855,1867.375,1876.302,33122409.7459
12.01.2023 01:00:00.000 GMT+0300,1876.633,1901.855,1874.743,1898.002,38718724.787099995
13.01.2023 01:00:00.000 GMT+0300,1895.903,1922.000,1892.545,1921.302,35643194.973299995
16.01.2023 01:00:00.000 GMT+0300,1920.863,1929.225,1911.025,1914.072,24923242.0923
17.01.2023 01:00:00.000 GMT+0300,1916.563,1919.245,1904.002,1909.502,36682039.708100006
18.01.2023 01:00:00.000 GMT+0300,1909.203,1926.155,1896.835,1905.002,40905820.48899999
19.01.2023 01:00:00.000 GMT+0300,1905.353,1935.375,1901.195,1933.075,34790408.8795
20.01.2023 01:00:00.000 GMT+0300,1932.703,1937.745,1920.802,1926.902,30321769.863500006
23.01.2023 01:00:00.000 GMT+0300,1927.972,1935.795,1911.585,1931.302,33097609.9818
24.01.2023 01:00:00.000 GMT+0300,1931.203,1942.665,1917.365,1938.002,28338469.9227
25.01.2023 01:00:00.000 GMT+0300,1938.003,1948.255,1920.045,1946.802,28821080.207800005
26.01.2023 01:00:00.000 GMT+0300,1947.303,1949.502,1918.902,1929.753,30070760.101299994
27.01.2023 01:00:00.000 GMT+0300,1930.072,1935.303,1916.912,1928.652,30383289.724699996
30.01.2023 01:00:00.000 GMT+0300,1928.092,1934.792,1920.902,1923.845,27935090.094800003
31.01.2023 01:00:00.000 GMT+0300,1923.753,1931.312,1901.035,1929.325,28322130.0542
01.02.2023 01:00:00.000 GMT+0300,1929.162,1954.785,1920.765,1950.865,36613829.7023
02.02.2023 01:00:00.000 GMT+0300,1951.512,1959.953,1911.502,1913.165,52243229.83620001
03.02.2023 01:00:00.000 GMT+0300,1912.693,1918.845,1861.552,1865.752,42688459.783700004
06.02.2023 01:00:00.000 GMT+0300,1865.292,1881.633,1860.943,1868.202,32973219.931199998
07.02.2023 01:00:00.000 GMT+0300,1868.383,1884.783,1865.175,1873.752,39124539.6733
08.02.2023 01:00:00.000 GMT+0300,1872.703,1886.653,1869.342,1875.802,28187950.1939
09.02.2023 01:00:00.000 GMT+0300,1876.413,1890.415,1859.152,1862.102,31741979.8968
10.02.2023 01:00:00.000 GMT+0300,1862.273,1872.385,1852.955,1866.402,29625800.1625
13.02.2023 01:00:00.000 GMT+0300,1865.883,1866.795,1850.665,1853.902,25821779.549100008
14.02.2023 01:00:00.000 GMT+0300,1854.553,1870.953,1843.502,1854.452,39571130.4544
15.02.2023 01:00:00.000 GMT+0300,1855.053,1860.352,1830.795,1836.252,29143530.219899997
16.02.2023 01:00:00.000 GMT+0300,1836.203,1845.465,1827.852,1836.805,32740270.018700004
17.02.2023 01:00:00.000 GMT+0300,1837.042,1843.835,1819.125,1842.802,28489379.853
20.02.2023 01:00:00.000 GMT+0300,1841.553,1847.715,1837.505,1841.657,18673909.976800002
21.02.2023 01:00:00.000 GMT+0300,1842.496,1844.085,1830.415,1835.765,32306920.349500004
